,Date,Time,Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,TimeSpent_minutes,buyDrinks,TotalSpent_RM,latitude,longitude,Location
51,20/10/2015,22:04:52,indian,female,fat,42.0,no,no_kids,55.0,4.0,15.0,2.91001756,101.6719134,"Persiaran Tasik, Cyber 7, Cyberjaya, Sepang, Selangor, 62100, Malaysia"
52,20/10/2015,22:04:52,foreigner,male,moderate,54.0,no,no_kids,20.0,4.0,16.0,2.965581773,101.6384887,"Kampung Pulau Meranti, Sepang, Selangor, 47120, Malaysia"
53,20/10/2015,22:10:28,foreigner,male,moderate,38.0,no,no_kids,40.0,5.0,14.0,2.914720246,101.7026826,"Presint 17, Kampung Limau Manis, Sepang, Selangor, 62150, Malaysia"
54,20/10/2015,22:12:39,chinese,female,thin,39.0,no,no_kids,15.0,2.0,13.0,2.94670685,101.727935,"Jalan Diplomatik 2/6, Presint Diplomatik, Putrajaya, Malaysia"
55,20/10/2015,22:18:01,malay,female,thin,53.0,yes,young,43.0,4.0,16.0,2.968579156,101.6453175,"Kawasan Perindustrian Meranti Utama, Sepang, Selangor, 47110, Malaysia"
56,20/10/2015,22:20:42,malay,male,thin,29.0,yes,toddler,31.0,0.0,18.0,2.921287496,101.6791926,"Jalan P7, Putrajaya, 62100, Malaysia"
57,20/10/2015,22:24:54,indian,male,fat,43.0,no,no_kids,36.0,0.0,11.0,2.903208575,101.6367534,"Persiaran APEC, Cyber 10, Cyberjaya, Sepang, Selangor, 63000, Malaysia"
58,20/10/2015,22:24:54,indian,female,fat,29.0,yes,young,56.0,4.0,21.0,2.918987501,101.6855577,"Persiaran Perdana, Presint 3, Putrajaya, 62100, Malaysia"
59,20/10/2015,22:37:12,malay,female,thin,50.0,yes,toddler,44.0,0.0,14.0,2.920738346,101.7324981,"Jalan Bukit Dugang, Kampung Desa Putra, Sepang, Selangor, 63450, Malaysia"
60,20/10/2015,22:52:52,malay,female,thin,51.0,no,no_kids,33.0,5.0,15.0,2.92582691,101.7381869,"Kampung Desa Putra, Kampung Sungai Merab Ulu, Sepang, Selangor, 63450, Malaysia"
61,20/10/2015,22:54:56,malay,male,thin,28.0,yes,toddler,60.0,3.0,16.0,2.97132764,101.6818507,"Presint 11, Putrajaya, 62300, Malaysia"
62,20/10/2015,22:59:55,indian,female,moderate,55.0,no,baby,60.0,5.0,14.0,2.919032094,101.6630788,"Jalan IMPACT, Cyber 6, Cyberjaya, Sepang, Selangor, 63000, Malaysia"
63,20/10/2015,23:08:44,indian,male,thin,33.0,no,no_kids,27.0,0.0,8.0,2.957446652,101.6609054,"Lebuhraya Damansara‒Puchong ‒ Putrajaya dan Cyberjaya, Cyber 3, Cyberjaya, Sepang, Selangor, 62300, Malaysia"
64,20/10/2015,23:08:44,indian,male,moderate,49.0,no,no_kids,38.0,3.0,21.0,2.929765556,101.685258,"Presint 8, Putrajaya, 62250, Malaysia"
65,20/10/2015,23:15:42,malay,male,thin,42.0,no,no_kids,24.0,3.0,19.0,2.943371984,101.7466686,"Burger, Jalan Ayer Hitam, Sepang, Selangor, 43650, Malaysia"
66,20/10/2015,0:04:56,malay,female,moderate,45.0,no,no_kids,26.0,2.0,16.0,2.919387484,101.6704071,"Perdana Lakeview East, Cyberjaya, Sepang, Selangor, 62100, Malaysia"
67,21/10/2015,2:17:42,indian,female,thin,30.0,no,no_kids,13.0,2.0,13.0,2.92153352,101.6713196,"Perdana Lakeview East, Cyberjaya, Sepang, Selangor, 62100, Malaysia"
68,21/10/2015,7:35:52,indian,female,fat,44.0,no,no_kids,17.0,3.0,10.0,2.910196243,101.6711649,"Persiaran Tasik, Cyber 7, Cyberjaya, Sepang, Selangor, 62100, Malaysia"
69,21/10/2015,7:58:48,chinese,female,moderate,54.0,no,no_kids,53.0,0.0,14.0,2.965247798,101.6639004,"Presint 11, Putrajaya, 62300, Malaysia"
70,21/10/2015,11:21:04,chinese,female,thin,43.0,no,no_kids,11.0,3.0,18.0,2.929160659,101.7405425,"Kampung Sungai Merab Ulu, Sepang, Selangor, 63450, Malaysia"
71,21/10/2015,11:56:35,malay,male,thin,32.0,no,no_kids,12.0,3.0,9.0,2.954092424,101.6897865,"Persiaran Seri Perdana, Presint 10, Putrajaya, 62250, Malaysia"
72,21/10/2015,11:56:35,malay,female,moderate,29.0,no,no_kids,41.0,5.0,16.0,2.957506738,101.6430859,"Cyberjaya, Sepang, Selangor, 47120, Malaysia"
73,21/10/2015,12:01:57,chinese,male,thin,40.0,no,no_kids,49.0,0.0,21.0,2.93563453,101.6424992,"Cyber 1, Cyberjaya, Sepang, Selangor, 63200, Malaysia"
74,21/10/2015,12:01:57,chinese,female,thin,31.0,no,no_kids,25.0,1.0,10.0,2.919485995,101.6453034,"Persiaran Simfoni, Symphony Hills, Cyberjaya, Sepang, Selangor, 63000, Malaysia"
75,21/10/2015,12:32:17,malay,female,thin,31.0,no,no_kids,27.0,1.0,7.0,2.92845186,101.6737553,"Hospital Putrajaya, Jalan P7, Presint 7, Putrajaya, 62250, Malaysia"
76,21/10/2015,12:44:01,chinese,male,thin,54.0,no,no_kids,15.0,0.0,11.0,2.969405623,101.6598108,"Sierra 12, 16 Sierra, Sepang, Selangor, 47110, Malaysia"
77,21/10/2015,13:04:37,malay,female,thin,39.40782991962665,no,no_kids,60.0,2.0,21.0,2.936189794,101.7247492,"Presint 15, Putrajaya, 62050, Malaysia"
78,21/10/2015,13:04:37,malay,male,moderate,39.40782991962665,no,no_kids,54.0,4.0,21.0,2.960194395,101.7175065,"Palm Garden Golf Club, Persiaran Utara, IOI Resort City, Sepang, Selangor, 62500, Malaysia"
79,21/10/2015,14:18:47,chinese,female,fat,45.0,no,no_kids,50.0,5.0,7.0,2.923278148,101.6872035,"Persiaran Perdana, Presint 2, Putrajaya, 62675, Malaysia"
80,21/10/2015,14:30:07,malay,female,moderate,38.0,yes,toddler,12.0,1.0,7.0,2.916170107,101.650825,"Al-Naz Maju, Lingkaran Cyber Point Barat, Cyber 12, Cyberjaya, Sepang, Selangor, 63000, Malaysia"
81,21/10/2015,14:32:50,malay,female,moderate,48.0,yes,young,35.0,1.0,13.0,2.933630644,101.7161121,"Presint 15, Putrajaya, 62000, Malaysia"
82,21/10/2015,14:51:37,chinese,female,thin,39.40782991962665,no,no_kids,45.0,1.0,19.0,2.939977736,101.7336849,"Presint 15, Putrajaya, 62050, Malaysia"
83,21/10/2015,15:05:32,malay,female,moderate,42.0,yes,toddler,48.0,0.0,12.0,2.96126395,101.6322195,"Kampung Pulau Meranti, Sepang, Selangor, 47120, Malaysia"
84,21/10/2015,16:53:36,malay,female,moderate,53.0,no,no_kids,14.0,2.0,12.0,2.942903902,101.7007535,"Grande Pulse Hotel Putrajaya, Jalan Putra Perdana, Presint 1, Putrajaya, 62519, Malaysia"
85,21/10/2015,19:35:17,malay,female,fat,40.0,no,no_kids,15.0,0.0,17.0,2.970403509,101.6312264,"Jalan Pulau Meranti, Kampung Pulau Meranti, Sepang, Selangor, 47120, Malaysia"
86,21/10/2015,19:35:17,malay,female,moderate,53.0,no,no_kids,26.0,5.0,16.0,2.940293857,101.6527689,"Lebuhraya Maju, Cyber 4, Cyberjaya, Sepang, Selangor, 63200, Malaysia"
87,21/10/2015,19:35:17,indian,male,fat,49.0,no,no_kids,48.0,0.0,7.0,2.906898887,101.6981818,"Desa Pinggiran Putra, Sepang, Selangor, 62150, Malaysia"
88,21/10/2015,21:13:41,malay,male,thin,52.0,no,no_kids,55.0,1.0,13.0,2.957185786,101.7204164,"IOI Resort City, Sepang, Selangor, 62500, Malaysia"
89,21/10/2015,21:13:41,malay,male,thin,32.0,no,no_kids,43.0,4.0,18.0,2.90526394,101.6767583,"Jalan Tunku Abdul Rahman, Presint 4, Putrajaya, 62100, Malaysia"
90,21/10/2015,21:13:41,chinese,male,moderate,34.0,no,no_kids,50.0,3.0,13.0,2.906258654,101.6578782,"Cyberjaya Selatan, Lebuhraya Damansara‒Puchong ‒ Putrajaya dan Cyberjaya, Cyber 8, Cyberjaya, Sepang, Selangor, 62200, Malaysia"
91,21/10/2015,21:13:41,indian,male,thin,35.0,no,no_kids,46.0,5.0,14.0,2.916636583,101.6540031,"Jalan Teknokrat 6, Cyber 5, Cyberjaya, Sepang, Selangor, 63000, Malaysia"
92,22/10/2015,7:31:47,malay,female,moderate,49.0,no,no_kids,46.0,3.0,14.0,2.926865293,101.6613881,"Sports Arena Cyberjaya Parking, Jalan Usahawan, Cyber 6, Cyberjaya, Sepang, Selangor, 63200, Malaysia"
93,22/10/2015,9:19:35,malay,female,fat,33.0,no,no_kids,55.0,2.0,21.0,2.970452804,101.6702865,"Presint 11, Putrajaya, 62300, Malaysia"
94,22/10/2015,9:19:35,malay,female,moderate,55.0,no,no_kids,58.0,1.0,9.0,2.96568898,101.6499519,"Sierra 3, 16 Sierra, Sepang, Selangor, 47110, Malaysia"
95,22/10/2015,9:48:38,chinese,female,moderate,39.40782991962665,no,no_kids,36.0,0.0,14.0,2.956566257,101.6357485,"Sepang, Selangor, 47120, Malaysia"
96,22/10/2015,10:08:57,malay,male,moderate,55.0,no,no_kids,37.0,5.0,21.0,2.935513585,101.629123,"Lepironia Garden, Setia Eco Glades, Cyberjaya, Sepang, Selangor, 47130, Malaysia"
97,22/10/2015,10:50:38,malay,female,thin,49.0,no,no_kids,55.0,3.0,19.0,2.959821806,101.7412559,"Kampung Dato' Abu Bakar Baginda, Sepang, Selangor, 62500, Malaysia"
98,22/10/2015,10:50:38,malay,male,thin,46.0,no,no_kids,21.0,1.0,15.0,2.905601006,101.7392814,"Jalan Saujana 2/12, Taman Desa Saujana, Sepang, Selangor, 63450, Malaysia"
99,22/10/2015,13:14:43,foreigner,female,moderate,41.0,no,no_kids,56.0,2.0,16.0,2.957273201,101.6710524,"Jalan P11, Presint 11, Putrajaya, 62300, Malaysia"
100,22/10/2015,13:17:51,malay,female,fat,39.40782991962665,no,no_kids,36.0,3.0,17.0,2.966717465,101.6636236,"Lebuhraya Damansara‒Puchong ‒ Putrajaya dan Cyberjaya, Cyber 3, Cyberjaya, Sepang, Selangor, 62300, Malaysia"
101,22/10/2015,13:17:51,malay,male,fat,41.0,no,no_kids,29.0,5.0,15.0,2.93177387,101.6399451,"Universiti Multimedia, Persiaran Multimedia, Cyber 11, Cyberjaya, Sepang, Selangor, 63000, Malaysia"
102,22/10/2015,14:38:23,malay,male,moderate,55.0,no,no_kids,37.0,3.0,10.0,2.949095496,101.6319816,"Jalan Meranti 2, Cyber 2, Cyberjaya, Sepang, Selangor, 47130, Malaysia"
103,22/10/2015,15:10:04,malay,female,moderate,34.0,no,no_kids,20.0,2.0,15.0,2.937062467,101.7095382,"University Malaysia Of Computer Science & Engineering, Menara Z10, Jalan Alamanda 2, Presint 1, Putrajaya, 62000, Malaysia"
104,22/10/2015,15:42:25,malay,female,fat,40.0,no,no_kids,30.0,0.0,7.0,2.960587491,101.6462615,"Cyberjaya, Sepang, Selangor, 47120, Malaysia"
105,22/10/2015,18:42:40,indian,male,fat,44.0,no,no_kids,25.0,2.0,14.0,2.955890826,101.7137964,"Persiaran Timur, Presint 12, Putrajaya, 62500, Malaysia"
106,22/10/2015,19:48:07,chinese,male,thin,50.0,yes,baby,19.0,0.0,13.0,2.942284986,101.6978443,"Jalan Putra Perdana, Presint 1, Putrajaya, 62519, Malaysia"
107,22/10/2015,20:23:30,foreigner,male,moderate,54.0,no,no_kids,23.0,4.0,16.0,2.909529395,101.6997223,"Sepang, Selangor, 62150, Malaysia"
108,22/10/2015,20:49:14,chinese,male,thin,39.40782991962665,no,no_kids,46.0,4.0,9.0,2.929831259,101.7314182,"Puncak Pinggiran Putra, Sepang, Selangor, 63450, Malaysia"
109,22/10/2015,22:10:13,malay,male,moderate,32.0,no,no_kids,50.0,3.0,9.0,2.925045336,101.6968892,"Lebuh Bestari, Putrajaya, 62150, Malaysia"
110,22/10/2015,22:52:01,malay,female,thin,32.0,no,no_kids,59.0,4.0,7.0,2.932982259,101.7324483,"Presint 15, Putrajaya, 62050, Malaysia"
111,22/10/2015,23:18:33,indian,male,fat,47.0,no,no_kids,15.0,2.0,17.0,2.920905791,101.6378199,"Padi House Cafeteria and Deli Cafe, Persiaran Bestari, Symphony Hills, Cyberjaya, Sepang, Selangor, 63000, Malaysia"
112,23/10/2015,1:09:08,chinese,female,fat,30.0,yes,toddler,22.0,5.0,20.0,2.955510695,101.6774643,"Presint 11, Putrajaya, 61250, Malaysia"
113,23/10/2015,1:31:55,chinese,male,fat,39.40782991962665,no,no_kids,50.0,5.0,14.045362392295996,2.944350333,101.6316005,"Putrajaya Link, Cyber 2, Cyberjaya, Sepang, Selangor, 63200, Malaysia"
114,23/10/2015,1:52:36,indian,female,fat,39.0,no,no_kids,60.0,0.0,8.0,2.969741447,101.7326093,"Universiti Tenaga Nasional (Kampus Putrajaya), Lebuhraya Lembah Klang Selatan, IOI Resort City, Sepang, Selangor, 62502, Malaysia"
115,23/10/2015,2:48:52,malay,male,fat,40.0,no,no_kids,22.0,3.0,14.045362392295996,2.946782315,101.6304899,"Jalan Meranti 2, Cyber 2, Cyberjaya, Sepang, Selangor, 47130, Malaysia"
116,23/10/2015,4:35:37,indian,male,moderate,39.40782991962665,no,no_kids,52.0,1.0,18.0,2.92958325,101.7446153,"Kampung Sungai Merab Jaya, Sepang, Selangor, 63450, Malaysia"
117,23/10/2015,7:07:53,malay,female,fat,52.0,yes,baby,15.0,0.0,19.0,2.950801571,101.6475723,"Sepang, Selangor, 47120, Malaysia"
118,23/10/2015,7:31:00,malay,male,fat,33.0,no,no_kids,29.0,3.0,14.045362392295996,2.935362189,101.7431844,"Kampung Sungai Merab Jaya, Sepang, Selangor, 63450, Malaysia"
119,23/10/2015,10:27:02,chinese,male,thin,39.40782991962665,no,no_kids,44.0,2.0,15.0,2.940545969,101.6313899,"Setia Eco Glades, Cyberjaya, Sepang, Selangor, 63200, Malaysia"
120,23/10/2015,11:14:22,malay,male,fat,53.0,yes,baby,58.0,4.0,13.0,2.94649583,101.6606522,"Lebuhraya Damansara‒Puchong ‒ Putrajaya dan Cyberjaya, Cyber 3, Cyberjaya, Sepang, Selangor, 62300, Malaysia"
121,23/10/2015,11:17:03,malay,female,moderate,53.0,yes,toddler,23.0,3.0,7.0,2.91005925,101.6762791,"Jalan Tunku Abdul Rahman, Presint 4, Putrajaya, 62100, Malaysia"
122,23/10/2015,11:54:36,indian,male,moderate,40.0,no,no_kids,58.0,0.0,21.0,2.942211723,101.6304912,"Lebuhraya Utara–Selatan Hubungan Tengah (Hubungan Putrajaya), Cyber 2, Cyberjaya, Sepang, Selangor, 47130, Malaysia"
123,23/10/2015,11:59:37,malay,male,moderate,40.0,no,no_kids,53.0,1.0,8.0,2.942248354,101.6891296,"Jambatan Seri Perdana, Lebuh Perdana Barat, Presint 1, Putrajaya, 62514, Malaysia"
124,23/10/2015,12:00:06,malay,female,fat,52.0,no,no_kids,48.0,1.0,13.0,2.958675928,101.6787285,"Jalan P11, Presint 11, Putrajaya, 62300, Malaysia"
125,23/10/2015,12:00:06,indian,male,fat,44.0,no,no_kids,19.0,5.0,14.045362392295996,2.941856911,101.7165176,"Presint 15, Putrajaya, 62000, Malaysia"
126,23/10/2015,12:00:06,malay,male,fat,39.40782991962665,no,no_kids,40.0,1.0,12.0,2.965896954,101.6735648,"Middle Jogging Track P11D, Presint 11, Putrajaya, 62300, Malaysia"
127,23/10/2015,12:01:53,malay,male,thin,44.0,no,no_kids,34.0,2.0,18.0,2.945227113,101.7108932,"Jalan Perdana Timur A, Presint 1, Putrajaya, 62000, Malaysia"
128,23/10/2015,12:23:32,malay,female,thin,52.0,no,no_kids,23.0,4.0,16.0,2.906171995,101.7234891,"Jalan Haji Uda, Taman Nusa Idaman, Sepang, Selangor, 63450, Malaysia"
129,23/10/2015,12:57:44,malay,female,fat,39.0,no,no_kids,13.0,3.0,14.0,2.929545039,101.7080012,"Lebuh Wadi Ehsan, Presint 17, Putrajaya, 62150, Malaysia"
130,23/10/2015,15:17:25,malay,female,thin,31.0,no,no_kids,29.0,4.0,14.0,2.936136301,101.7118102,"PPAM Jintan, Jalan Alamanda 2, Presint 1, Putrajaya, 62000, Malaysia"
131,23/10/2015,16:06:01,malay,male,thin,31.0,no,no_kids,54.0,4.0,14.045362392295996,2.953809283,101.6512013,"Lebuhraya Maju, Cyberjaya, Sepang, Selangor, 62300, Malaysia"
132,23/10/2015,16:06:01,malay,female,fat,40.0,no,no_kids,36.0,2.0,14.0,2.949461681,101.729489,"Jalan Diplomatik 2/4, Presint Diplomatik, Putrajaya, 62050, Malaysia"
133,23/10/2015,16:11:32,malay,female,thin,28.0,yes,baby,16.0,5.0,21.0,2.919622323,101.7184368,"Limau Manis, Kampung Limau Manis, Sepang, Selangor, 63450, Malaysia"
134,23/10/2015,16:33:34,malay,female,moderate,41.0,no,no_kids,11.0,1.0,9.0,2.94747878,101.7418065,"Sepang, Selangor, 62050, Malaysia"
135,23/10/2015,17:31:48,malay,female,moderate,41.0,yes,toddler,28.0,3.0,14.0,2.921348541,101.646776,"Persiaran Ceria, Cyber 12, Cyberjaya, Sepang, Selangor, 63000, Malaysia"
136,23/10/2015,17:31:48,malay,female,fat,49.0,no,no_kids,41.0,0.0,20.0,2.924976939,101.6590791,"Enterprise Building 3, Persiaran Tasik, Cyber 7, Cyberjaya, Sepang, Selangor, 62100, Malaysia"
137,23/10/2015,19:47:39,chinese,female,thin,30.0,no,no_kids,25.0,5.0,15.0,2.956082645,101.7154615,"Persiaran Timur, Presint 12, Putrajaya, 62000, Malaysia"
138,23/10/2015,19:55:14,chinese,male,moderate,48.0,no,no_kids,19.0,4.0,13.0,2.949987021,101.6541451,"Jalan Teknokrat 1, Cyber 3, Cyberjaya, Sepang, Selangor, 63200, Malaysia"
